"displayName","sku","parentSku","itemQty","grossWeight","is_parent"
"Katyayani Tobacco Caterpillar Lure (SPODOPTERA LITURA) 1 Pc x 20","K-918","BK-99",20,0.066,false
"Katyayani Naagpash - Novaluron 5.25% + Indoxacarb 4.5% SC 250ml x 20","K-1371","K-1366",20,5.5,false
"Katyayani AAKRAMAK PLUS (Novaluron 5.25% + Indoxacarb 4.5%) 1Ltr x 3","K-5578","K-5577",3,3.3,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30gm x 12","K-178","K-176",12,0.396,false
"Katyayani Temephos 50 EC 1 Ltr x 50","K-288","K-284",50,55,false
"Katyayani Ashwamedh Diafenthiuron 50% WP 250gm x 7","K-1096","K-361",7,1.925,false
"Katyayani Verticillium Lecanii Bio Insecticide Powder 1 kg x 5","K-5169","K-5167",5,5.5,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 134gm x 3","K-6678","K-1395",3,0.4422,true
"Katyayani Deltamethrin 2.8% EC DEL-28 1 ltr x 3","K-5841","K-936",3,3.3,false
"Katyayani KEECHAK (tolfenpyrad 15 % ec) 250ml x 2","K-5974","K-5545",2,0.55,true
"Katyayani NEMA PRIME (Pochonia chlamydposporia 1% W.P) 1KG x 3","K-5553","K-5552",3,3.3,false
"Katyayani White Grub Lure (HOLOTRICHIA CONSANGUINEA/SERRATA) 1 Pc x 20","K-922","K-920",20,0.066,false
"Katyayani CHLORO GR (chloropyriphos 10%gr) 1kg x 4","K-1112","K-1111",4,4.4,false
"Katyayani Naagpash - Novaluron 5.25% + Indoxacarb 4.5% SC 250ml x 12","K-1370","K-1366",12,3.3,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 500gm x 20","K-1400","K-6683",20,11,false
"Katyayani Cotton Bollworm Lure (HELICOVERPA ARMIGERA) 1 Pc x 10","K-890","K-893",10,0.033,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 500 gm x 3","K-1397","K-6683",3,1.65,false
"Katyayani Beauveria Bassiana Bio Insecticide Powder 1 kg x 10","K-5158","K-5155",10,11,false
"Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 Pc x 10","K-914","K-913",10,0.033,false
"Katyayani Ditox - Diflubenzuron 25% WP 250gm x 6","K-1376","K-1373",6,1.65,false
"Katyayani Anti virus 250ml x 4","K-5566","K-5564",4,1.1,false
"Katyayani Shivi - Fenpropathrin 30 % EC 250ml x 12","K-1349","K-1345",12,3.3,false
"Katyayani NEMA PRIME (Pochonia chlamydposporia 1% W.P) 1kg x 10","K-5555","K-5552",10,11,false
"Katyayani Flubendiamide 39.35 % sc – Fluben 30mlx 2","K-1255","K-1249",2,0.066,false
"Katyayani Beauveria Bassiana Bio Insecticide Powder 1 kg x 3","K-5156","K-5155",3,3.3,false
"Katyayani KACIN (abamectin 1.9) 100ml x 10","K-5464","K-5461",10,1.1,false
"Katyayani PINK BOLLWORM lure 1 Pc x 20","K-928","BK-102",20,0.066,false
"Katyayani KEECHAK (tolfenpyrad 15 % ec) 250ml x 40","K-5550","K-5545",40,11,false
"Katyayani 3in1 100ml x 10","K-221","K-217",10,1.1,false
"Katyayani BT Bio Larvicide liquid 1 Ltr x 5","K-422","K-420",5,5.5,false
"Katyayani Imd-70 - Imidacloprid 70 % WG 30 gm x 24","K-1066","K-176",24,0.792,false
"Katyayani 3in1 100ml x 50","K-225","K-217",50,5.5,false
"Katyayani Joker - Fipronil 80% WDG 40gm x 12","K-1269","K-1266",12,0.528,false
"Katyayani Fantasy 292 - Fipronil 2.92% EC 250ml x 3","K-1353","K-1352",3,0.825,false
"Katyayani chakrawarti (Thiamethoxam 12.6 % lambda cyhalothrin 9.5 % zc) 250ml x 4","K-390","K-388",4,1.1,false
"Katyayani EMA5 - Emamectin benzoate 5 % SG 1kg x 5","K-5716","K-5714",5,5.5,false
"Katyayani Ditox - Diflubenzuron 25% WP 250gm x 2","K-1374","K-1373",2,0.55,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 30 ml x 30","K-6156","K-5027",30,0.99,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 1 Ltr x 5","K-1365","K-1363",5,5.5,false
"Katyayani Tobacco Caterpillar Lure (SPODOPTERA LITURA) 1 Pc x 50","K-919","BK-99",50,0.165,false
"Katyayani INDOXACARB 14.5% SC 250ml x 5","K-6614","K-5933",5,1.375,false
"Katyayani Deltamethrin 2.8% EC DEL-28 1Ltr x 5","K-5842","K-936",5,5.5,false
"Katyayani INDOXACARB 14.5% SC 1Ltr x 3","K-5772","K-5771",3,3.3,false
"Katyayani Fruit Fly Lure (BACTROCERA CORRECTA , ZONATA , DORSALISA) 1 Pc x 5","K-905","K-6319",5,0.0165,false
"Katyayani Beetle Lure (DYNASTINAE) 1 Pc x 50","K-889","K-886",50,0.165,false
"Katyayani THIAMETHOXAM 0.9% + FIPRONIL 0.2% GR (THIONIL) 100 KG x 5","K-1336","K-1335",5,550,false
"Katyayani Shivi - Fenpropathrin 30 % EC 250ml x 4","K-1347","K-1345",4,1.1,false
"Katyayani emamectin benzote 1.9% EC - Ema 19 1 Ltr x 50","K-283","K-279",50,55,false
"Katyayani Lenux - Lambdacylhalothrin 10% WP 62.5 gm x 160","K-431","K-1178",160,11,false
"Katyayani Shivi - Fenpropathrin 30 % EC 250ml x 40","K-1351","K-1345",40,11,false
"Katyayani Fruit Fly Lure (BACTROCERA CORRECTA , ZONATA , DORSALISA) 1 Pc x 20","K-907","K-6319",20,0.066,false
"Katyayani Cotton Bollworm Lure (HELICOVERPA ARMIGERA) 1 Pc x 50","K-892","K-893",50,0.165,false
"Katyayani Eggplant Fruit & Shoot Borer Lure (LEUCINODES ORBONALIS) 1 Pc x 10","K-898","K-897",10,0.033,false
"Katyayani THIAMETHOXAM 0.9% + FIPRONIL 0.2% GR (THIONIL) 25 KG x 2","K-1334","K-1333",2,55,false
"Katyayani NEMA PRIME (Pochonia chlamydposporia 1% ) LIQUID 1Ltr x 5","K-5558","K-5556",5,5.5,false
"Katyayani Anti Malarial Oil (Oil Base) 25 ltr x 10","K-6478","K-5044",10,275,false
"Katyayani chlorpyriphos 50%+ cypermethrin 5% ec Docter 505 1 Ltr x 2","K-262","K-261",2,2.2,false
"Katyayani Pyrethrum Extract 1 Ltr x 20","K-175","K-173",20,22,false
"Katyayani BPH Super (Pymetrozine 50 % wg) 150gm x 10","K-5778","K-5753",10,1.65,false
"Katyayani Lenux - Lambdacylhalothrin 10% WP 500gm x 1","K-5039","K-1178",1,0.55,false
"Katyayani Yellow Stem Borer Lure (SCIRPOPHAGA INCERTULAS) 1 Pc x 50","K-926","BK-101",50,0.165,false
"Katyayani Beetle Lure (DYNASTINAE) 1 Pc x 20","K-888","K-886",20,0.066,false
"Katyayani INDOXACARB 14.5% SC 250ml x 10","K-6615","K-5933",10,2.75,false
"Katyayani FANTASY PLUS(Fipronil 4% + Acetamipirid 4% w/w SC) 250ml x 20","K-5586","K-5582",20,5.5,false
"Katyayani Naagpash - Novaluron 5.25% + Indoxacarb 4.5% SC 250ml x 4","K-1368","K-1366",4,1.1,false
"Katyayani White Grub Lure (HOLOTRICHIA CONSANGUINEA/SERRATA) 1 Pc x 5","K-920","K-7237",5,0.0165,true
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 60 ml x 8","K-1362","K-1359",8,0.528,false
"Katyayani Melon Fly Lure (BACTROCERA CUCURBITAE) 1 Pc x 50","K-912","K-909",50,0.165,false
"Katyayani Flubendiamide 39.35 % sc – Fluben 30ml x 30","K-1258","K-1249",30,0.99,false
"Katyayani NEMA PRIME (Pochonia chlamydposporia 1% ) LIQUID 1Ltr x 10","K-5559","K-5556",10,11,false
"Katyayani K-Cyper10 (Cypermethrin 10% EC) 1 ltr x 50","K-957","K-5237",50,55,false
"Katyayani Fantastic Chlorantranliprole 0.4% w/w GR 4kg x 20","K-1260","K-5206",20,88,false
"Katyayani Fruit Fly Lure (BACTROCERA CORRECTA , ZONATA , DORSALISA) 1 Pc x 10","K-906","K-6319",10,0.033,false
"Katyayani Ditox - Diflubenzuron 25% WP 250gm x 40","K-1379","K-1373",40,11,false
"Katyayani KEECHAK (tolfenpyrad 15 % ec) 250ml x 12","K-5548","K-5545",12,3.3,false
"Katyayani Naagpash - Novaluron 5.25% + Indoxacarb 4.5% SC 250ml x 40","K-1372","K-1366",40,11,false
"Katyayani Cypermethrin 25% EC 1 Ltr x 20","K-1264","K-5237",20,22,false
"Katyayani Deltamethrin 2.5% WP 1 kg x 20","K-962","K-5203",20,22,false
"Katyayani Fantastic Chlorantranliprole 0.4% w/w GR 4kg X 2","K-5081","K-5206",2,8.8,false
"Katyayani MITE FREE (fenpyroximate 5% SC) 1Ltr x 10","K-5625","K-5622",10,11,false
"Katyayani Chloro 50 - Chlorpyriphos 50% EC 1 Ltr x 20","K-1312","K-1308",20,22,false
"Katyayani Melon Fly Lure (BACTROCERA CUCURBITAE) 1 Pc x 5","K-909","K-5836",5,0.0165,true
"Katyayani Shivi - Fenpropathrin 30 % EC 250ml x 20","K-1350","K-1345",20,5.5,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 500gm x 6","K-1398","K-6683",6,3.3,false
"Katyayani Melon Fly Lure (BACTROCERA CUCURBITAE) 1 Pc x 10","K-910","K-909",10,0.033,false
"Katyayani PINK BOLLWORM lure 1 Pc x 50","K-929","BK-102",50,0.165,false
"Katyayani Beauveria Bassiana Bio Insecticide Powder 1 kg x 5","K-5157","K-5155",5,5.5,false
"Katyayani Pigeon repellent 100ml x 3","K-10501","K-432",3,0.33,false
"Katyayani Verticillium Lecanii Bio Insecticide Powder 1 kg x 10","K-5170","K-5167",10,11,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 25 KG x 40","K-1325","K-1320",40,1100,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 60 ml x 5","K-6693","K-1359",5,0.33,false
"Katyayani NEMA PRIME (Pochonia chlamydposporia 1% W.P) 1kg x 5","K-5554","K-5552",5,5.5,false
"Katyayani White Grub Lure (HOLOTRICHIA CONSANGUINEA/SERRATA) 1 Pc x 10","K-921","K-920",10,0.033,false
"Katyayani FOXY ( Fipronil 4% + Thiomethoxam 4% SC) 1Ltr x 3","K-5589","K-5588",3,3.3,false
"Katyayani FANTASY PLUS(Fipronil 4% + Acetamipirid 4% w/w SC) 250ml x 4","K-5584","K-5582",4,1.1,false
"Katyayani Eggplant Fruit & Shoot Borer Lure (LEUCINODES ORBONALIS) 1 Pc x 5","K-897","K-5820",5,0.0165,true
"Katyayani Aakramak (Novaluron 5.25% + Emamectin benzonate 9 % W/W SC) 1 Ltr x 5","K-5888","K-5886",5,5.5,false
"Katyayani MITE FREE (fenpyroximate 5% SC) 5ltr x 8","K-5231","K-6717",8,44,false
"Katyayani BT Bio Larvicide Powder 1 kg x 5","K-5161","K-5159",5,5.5,false
"Katyayani Chloropriphos 20 % ec 1 Ltr x 10","K-1284","K-1281",10,11,false
"Katyayani Chloro 50 - Chlorpyriphos 50% EC 1 Ltr x 10","K-1311","K-1308",10,11,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 25 KG x 4","K-1322","K-1320",4,110,false
"Katyayani White Grub Lure (HOLOTRICHIA CONSANGUINEA/SERRATA) 1 Pc x 50","K-923","K-920",50,0.165,false
"Katyayani Fruit Fly Lure (BACTROCERA CORRECTA , ZONATA , DORSALISA) 1 Pc x 50","K-908","K-6319",50,0.165,false
"Katyayani BT Bio Larvicide Powder 1 kg x 10","K-5162","K-5159",10,11,false
"Katyayani Anti virus 250ml x 2","K-5565","K-5564",2,0.55,false
"Katyayani Deltamethrin 2.5% WP 1 kg x 10","K-961","K-5203",10,11,false
"Katyayani INDOXACARB 14.5% SC 1Ltr x 5","K-5773","K-5771",5,5.5,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 60 ml x 2","K-1360","K-1359",2,0.132,false
"Katyayani BT Bio Larvicide Powder 1 kg x 3","K-5160","K-5159",3,3.3,false
"Katyayani Diamond Back Moth Lure (PLUTELLA XYLOSTELLA) 1 Pc x 20","K-895","K-893",20,0.066,false
"Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 Pc x 50","K-916","K-913",50,0.165,false
"Katyayani Cypermethrin 5% EC 100 Ltr x 2","K-990","K-6718",2,220,false
"Katyayani Shivi - Fenpropathrin 30 % EC 250ml x 7","K-1348","K-1345",7,1.925,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 134gm x 10","K-6680","K-1395",10,1.474,false
"Katyayani Flubendiamide 39.35 % sc – Fluben 30ml x 5","K-1256","K-1249",5,0.165,false
"Katyayani Deltamethrin 2 % EW - DEW 1Ltr x 100","K-5601","K-6024",100,110,false
"Katyayani Diamond Back Moth Lure (PLUTELLA XYLOSTELLA) 1 Pc x 5","K-893","K-6813",5,0.0165,true
"Katyayani Tobacco Caterpillar Lure (SPODOPTERA LITURA) 1 Pc x 10","K-917","BK-99",10,0.033,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 5kg x 2","K-5683","K-5229",2,11,false
"Katyayani AAKRAMAK PLUS (Novaluron 5.25% + Indoxacarb 4.5%) 1Ltr x 5","K-5579","K-5577",5,5.5,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 30 ml x 2","K-6152","K-5027",2,0.066,false
"Katyayani Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 10","K-5166","K-5163",10,11,false
"Katyayani Blue Traps ( 30 x 12) 1 Pack x 25","K-5748","K-5747",25,0.55,false
"Katyayani Dr. Neem 10000 | Neem Oil Insecticde 10000 ppm 1Ltr x 3","K-6109","K-6108",3,3.3,false
"Katyayani Sarvashakti 250ml x 20","K-5712","K-5708",20,5.5,false
"Katyayani yellow traps (30 x 12) 1 Pack x 50","K-5745","K-6360",50,1.1,false
"Katyayani Fall Army Worm Lure (SPODOPTERA FRUGIPERDA) 1 Pc x 5","K-901","K-6436",5,0.0165,true
"Katyayani alphacypermethrin 5% wp 1kg x 100","K-1254","K-5833",100,110,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 1 kg x 10","K-6477","K-5931",10,11,false
"Katyayani KACIN (abamectin 1.9) 100ml x 5","K-5463","K-5461",5,0.55,false
"Katyayani Chloro 50 - Chlorpyriphos 50% EC 1 Ltr x 50","K-1313","K-1308",50,55,false
"Katyayani AAKRAMAK PLUS (Novaluron 5.25% + Indoxacarb 4.5%) 1Ltr x 10","K-5580","K-5577",10,11,false
"Katyayani K-MITE Hexythiazox 5.45% EC 1 Ltr x 10","K-1279","K-5834",10,11,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 134gm x 5","K-6679","K-1395",5,0.737,false
"Katyayani Fantasy - Fipronil 0.3GR 5kg x 200","K-5103","K-5791",200,1100,false
"Katyayani INDOXACARB 14.5% SC 1 Ltr x 10","K-1277","K-5771",10,11,false
"Katyayani Joker - Fipronil 80% WDG 40 gm x 20","K-1270","K-1266",20,0.88,false
"Katyayani KEECHAK (tolfenpyrad 15 % ec) 250ml x 4","K-5547","K-5545",4,1.1,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 500gm x 2","K-1396","K-6683",2,1.1,false
"Katyayani PINK BOLLWORM lure 1 Pc x 10","K-927","BK-102",10,0.033,false
"Katyayani Fantastic Chlorantranliprole 0.4% w/w GR 4kg x 40","K-1261","K-5206",40,176,false
"Katyayani Deltamethrin 2.5% SC DEL-25 1Ltr x 3","K-5844","K-937",3,3.3,false
"Katyayani American Bollworm or Tomato Leaf Miner Lure (TUTA ABSOLUTA) 1 Pc x 20","K-884","K-882",20,0.066,false
"Katyayani Deltamethrin 2.5% SC DEL-25 1Ltr x 5","K-5845","K-937",5,5.5,false
"Katyayani Joker - Fipronil 80% WDG 40gm x 6","K-1268","K-1266",6,0.264,false
"Katyayani American Bollworm or Tomato Leaf Miner Lure (TUTA ABSOLUTA) 1 Pc x 50","K-885","K-882",50,0.165,false
"Katyayani Alphacypermethirin 10% SC 1 ltr x 20","K-938","BK-103",20,22,false
"Katyayani BPH Super+ - Dinotefuran 15.00 %+ Pymetrozine 45.00 % WG 134gm x 2","K-6616","K-1395",2,0.2948,false
"Katyayani Ditox - Diflubenzuron 25% WP 250gm x 12","K-1377","K-1373",12,3.3,false
"Katyayani Yellow Stem Borer Lure (SCIRPOPHAGA INCERTULAS) 1 Pc x 20","K-925","BK-101",20,0.066,false
"Katyayani Dr. Neem | Dr. Neem 5000 PPM Insecticide 1 ltr x 5","K-6140","K-6138",5,5.5,false
"Katyayani ALPHA CHLO (Alphacypermethrin 1% + Chlorpyriphos 16% EC) 1 ltr x 50","K-6534","K-6531",50,55,false
"Katyayani Flowering booster 250ml x 3","K-1180","K-19",3,0.825,false
"Katyayani Dr. Neem 10000 | Neem Oil Insecticde 10000 ppm 1Ltr x 2","K-6569","K-6108",2,2.2,false
"Katyayani Dr Neem 300 | Neem Oil Insecticide 300 ppm 1Ltr x 10","K-6121","K-6099",10,11,false
"Katyayani ASHWAMEDH PLUS (Diafenthiuron 40.1% + Acetamiprid 3.9% WP) 250gm x 6","K-5619","K-5616",6,1.65,false
"Katyayani OZIL (Spiromesifen 22.9% SC) 50ml x 10","K-5611","K-5608",10,0.55,false
"Katyayani wild animal repllent 1kg x 5","K-5656","K-5654",5,5.5,false
"Katyayani Mix micronutrient 100gm x 9","K-08","K-06",9,0.99,false
"Katyayani ALPHA CHLO (Alphacypermethrin 1% + Chlorpyriphos 16% EC) 1 ltr x 30","K-6533","K-6531",30,33,false
"Katyayani VASISHTA (Thiamethoxam 1% + Chlorantraniliprole 0.5%) 2.5kg x 8","K-5595","K-5592",8,22,false
"Katyayani Dr. Neem Prime 5% w/w | Neem Oil Insecticide 1Ltr x 3","K-6113","K-6112",3,3.3,false
"Katyayani npk 20 20 20 25 kg X 4","K-10520","K-10519",4,110,false
"Katyayani Katappa - Cartap hydrochloride 4% GR 25 KG x 8","K-1323","K-1320",8,220,false
"Katyayani Cypermethrin 25% EC 1 Ltr x 10","K-1263","K-5237",10,11,false
"Katyayani Quino Dust | Quinalphos 1.5% Dp Insecticide Powder 25Kg  x 40","K-6116","K-6133",40,1100,false
"Katyayani Thioxam Super plus (THIAMETHOXAM 70% W.S) 100gm x 10","K-6253","K-6235",10,1.1,false
"Katyayani wild animal repllent 1kg x 10","K-5657","K-5654",10,11,false
"Katyayani Thioxam Super plus (THIAMETHOXAM 70% W.S) 100 gm x 100","K-6475","K-6235",100,11,false
"Katyayani Flowering booster 250ml x 2","K-20","K-19",2,0.55,false
"Katyayani ASHWAMEDH PLUS (Diafenthiuron 40.1% + Acetamiprid 3.9% WP) 250gm x 20","K-5621","K-5616",20,5.5,false
"Katyayani IMIDAZOLE (Imidacloprid 18.5% + Hexaconazole 1.5% FS) 1 ltr x 10","K-6509","K-6506",10,11,false
"Katyayani Dr. Neem 3000 | Neem Oil Insecticide 3000 ppm 1Ltr x 5","K-6104","K-6102",5,5.5,false
"Katyayani Ethiocyper 50  (Ethion 40% + Cypermethrin 5%) 1 ltr x 10","K-6538","K-6535",10,11,false
"Katyayani ACE INDOX (Indoxacarb 14.5% + Acetamiprid 7.7% SC) 100 ml x 20","K-6523","K-6522",20,2.2,false
"Katyayani OZIL (Spiromesifen 22.9% SC) 50ml x 2","K-5609","K-5608",2,0.11,false
"Katyayani Flubendiamide 39.35 % sc – Fluben 30ml x 3","K-951","K-1249",3,0.099,false
"Katyayani ALPHA CHLO (Alphacypermethrin 1% + Chlorpyriphos 16% EC) 1 ltr x 20","K-6532","K-6531",20,22,false
"Katyayani Vermicompost 950 gm x 20","K-05","K-6358",20,21.45,true
"Katyayani IMIDAZOLE (Imidacloprid 18.5% + Hexaconazole 1.5% FS) 1 ltr x 3","K-6507","K-6506",3,3.3,false
"Katyayani VASISHTA (Thiamethoxam 1% + Chlorantraniliprole 0.5%) 2.5kg  x 2","K-5593","K-5592",2,5.5,false
"Katyayani ACE INDOX (Indoxacarb 14.5% + Acetamiprid 7.7% SC) 100 ml x 30","K-6524","K-6522",30,3.3,false
"Katyayani npk 20 20 20 460gm x 2","K-10","K-09",2,1.012,false
"Katyayani Lenux - Lambdacylhalothrin 10% WP 50 KG X 1","K-6247","K-1178",1,55,false
"Katyayani alphacypermethrin 5% wp 1kg x 20","K-1253","K-5833",20,22,false
"Katyayani Malathox 5 | Malathion 5% DP Insecticide Dust Powder 25Kg  x 40","K-6117","K-6134",40,1100,false
"Katyayani Dr. Neem 3000 | Neem Oil Insecticide 3000 ppm 1Ltr x 10","K-6122","K-6102",10,11,false
"Katyayani ASHWAMEDH PLUS (Diafenthiuron 40.1% + Acetamiprid 3.9% WP) 250gm x 4","K-5618","K-5616",4,1.1,false
"Katyayani DEL 11 (Deltamethrin 11% W/W EC) 1 ltr x 10","K-6529","K-6526",10,11,false
"Katyayani Dr. Neem 1500 | Neem Oil Insecticide 1500 ppm 1Ltr x 5","K-6107","K-6105",5,5.5,false
"Katyayani Fantasy 292 - Fipronil 2.92% EC 250ml x 40","K-1358","K-1352",40,11,false
"Katyayani American Bollworm or Tomato Leaf Miner Lure (TUTA ABSOLUTA) 1 Pc x 5","K-882","K-6435",5,0.0165,true
"Katyayani Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS) 1 Pc x 5","K-913","K-5837",5,0.0165,true
"Katyayani wild animal repllent 1kg x 2","K-6570","K-5654",2,2.2,false
"Katyayani npk 20 20 20 960 GM X 2","K-1146","K-14",2,2.112,false
"Katyayani Dr. Neem Prime 5% w/w | Neem Oil Insecticide 1Ltr x 5","K-6114","K-6112",5,5.5,false
"Katyayani Cyper Dust | Cypermethrin 0.25% Insecticide Powder 25Kg  x 40","K-6119","K-6136",40,1100,false
"Katyayani Flowering booster 250ml x 20","K-23","K-19",20,5.5,false
"Katyayani Metarhizium Anisopliae Bio Insecticide Powder 1 kg x 5","K-5165","K-5163",5,5.5,false
"Katyayani American Bollworm or Tomato Leaf Miner Lure (TUTA ABSOLUTA) 1 Pc x 10","K-883","K-882",10,0.033,false
"Katyayani FANTASY GOLD (fipronil 18.87% sc) 1ltr x 10","K-6256","K-6236",10,11,false
"Katyayani Ethiocyper 50  (Ethion 40% + Cypermethrin 5%) 1 ltr x 20","K-6539","K-6535",20,22,false
"Katyayani Sarvashakti 250ml x 4","K-5710","K-5708",4,1.1,false
"Katyayani OUTBURST - Broflanilide 300 G/L SC 17ml x 20","K-6044","K-6041",20,0.374,false
"Katyayani Humic+FULVIC 400 gm x 10","K-6554","K-986",10,4.4,false
"Katyayani Dichlorvos 76 % EC 1Ltr x 5","K-5219","K-5252",5,5.5,false
"Katyayani Ethiocyper 50  (Ethion 40% + Cypermethrin 5%) 1 ltr x 5","K-6537","K-6535",5,5.5,false
"Katyayani Fantasy - Fipronil 0.3GR 5kg x 24","K-5102","K-5791",24,132,false
"Katyayani Quinex (Quinalphos 25 % EC) 1ltr x 100","K-6255","K-5879",100,110,false
"Katyayani OUTBURST - Broflanilide 300 G/L SC 17ml x 10","K-6043","K-6041",10,0.187,false
"Katyayani OZIL (Spiromesifen 22.9% SC) 50ml x 4","K-5610","K-5608",4,0.22,false
"Katyayani Dr. Neem | Dr. Neem 5000 PPM Insecticide 1 ltr x 10","K-6141","K-6138",10,11,false
"Katyayani DEL 11 (Deltamethrin 11% W/W EC) 1 ltr x 3","K-6527","K-6526",3,3.3,false
"Katyayani Mix micronutrient 50 KG X 1","K-6223","K-6172",1,55,false
"Katyayani Dr. Neem 10000 | Neem Oil Insecticde 10000 ppm 1Ltr x 10","K-6111","K-6108",10,11,false
"Katyayani npk 20 20 20 500GM X 5","K-5997","K-1157",5,2.75,true
"Katyayani IMIDAZOLE (Imidacloprid 18.5% + Hexaconazole 1.5% FS) 1 ltr x 5","K-6508","K-6506",5,5.5,false
"Katyayani npk 20 20 20 960gm x 5","K-16","K-14",5,5.28,false
"Katyayani Flowering booster 250ml x 10","K-22","K-19",10,2.75,false
"Katyayani Dr. Neem 10000 | Neem Oil Insecticde 10000 ppm 1Ltr x 5","K-6110","K-6108",5,5.5,false
"Katyayani Flowering booster 250ml x 4","K-21","K-19",4,1.1,false
"Katyayani TRIPLE ATTACK WP - VBM 1KG x 2","K-6568","K-5626",2,2.2,false
"Katyayani OUTBURST - Broflanilide 300 G/L SC 17ml x 2","K-6041","K-6040",2,0.0374,true
"Katyayani Mix micronutrient 100gm x 4","K-07","K-06",4,0.44,false
"Katyayani npk 20 20 20 25 kg X 2","K-5949","K-10519",2,55,false
"Katyayani Dr. Neem Prime 5% w/w | Neem Oil Insecticide 1Ltr x 10","K-6115","K-6112",10,11,false
"Katyayani ASHWAMEDH PLUS (Diafenthiuron 40.1% + Acetamiprid 3.9% WP) 250gm x 3","K-5617","K-5616",3,0.825,false
"Katyayani Dr. Neem 3000 | Neem Oil Insecticide 3000 ppm 1Ltr x 3","K-6103","K-6102",3,3.3,false
"Katyayani npk 20 20 20 460gm x 5","K-11","K-09",5,2.53,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 30 ml x 3","K-6153","K-5027",3,0.099,false
"Katyayani Chloropriphos 20 % ec 1 Ltr x 2","K-1282","K-1281",2,2.2,false
"Katyayani Deltamethrin 2.5% WP 1 kg x 100","K-964","K-5203",100,110,false
"Katyayani Chakraveer (Chlorantraniliprole 18.5 % SC ) 1 Ltr x 3","K-1364","K-1363",3,3.3,false
"Katyayani KEECHAK (tolfenpyrad 15 % ec) 250ml x 3","K-5546","K-5545",3,0.825,false
"Katyayani Diamond Back Moth Lure (PLUTELLA XYLOSTELLA) 1 Pc x 50","K-896","K-893",50,0.165,false
"Katyayani FOXY ( Fipronil 4% + Thiomethoxam 4% SC) 1Ltr x 10","K-5591","K-5588",10,11,false
"Katyayani Dr Neem 300 | Neem Oil Insecticide 300 ppm 1Ltr x 3","K-6100","K-6099",3,3.3,false
"Katyayani yellow traps (30 x 12) 1 Pack x 100","K-5746","K-6360",100,2.2,false
"Katyayani Sarvashakti 250ml x 12","K-5711","K-5708",12,3.3,false
"Katyayani DEL 11 (Deltamethrin 11% W/W EC) 1 ltr x 5","K-6528","K-6526",5,5.5,false
"Katyayani wild animal repllent 1kg x 3","K-5655","K-5654",3,3.3,false
"Katyayani TRIPLE ATTACK WP - VBM 1KG x 10","K-5629","K-5626",10,11,false
"Katyayani Dr. Neem | Dr. Neem 5000 PPM Insecticide 1 ltr x 3","K-6139","K-6138",3,3.3,false
"Katyayani Chloda (Chlorantraniliprole 9.3% + Lambda cyhalothrin 4.6% ZC) 1ltr x 3","K-6252","K-6251",3,3.3,false
"Katyayani Yellow Stem Borer Lure (SCIRPOPHAGA INCERTULAS) 1 Pc x 10","K-924","BK-101",10,0.033,false
"Katyayani Vermicompost 950 gm x 2","K-02","K-6358",2,2.09,true
"Katyayani Dr. Neem 1500 | Neem Oil Insecticide 1500 ppm 1Ltr x 10","K-6123","K-6105",10,11,false
"Katyayani Dr Neem 300 | Neem Oil Insecticide 300 ppm 1Ltr x 5","K-6101","K-6099",5,5.5,false
"Katyayani Pyron (Pyriproxyfen 5% + Diafenthiuron 25% se) 250ml x 3","K-5417","K-5416",3,0.825,false
"Katyayani Joker - Fipronil 80% WDG 2 GM X 10","K-6280","K-6260",10,0.022,false
"Katyayani Fantasy 292 - Fipronil 2.92% EC 250ml x 12","K-1356","K-1352",12,3.3,false
"Katyayani npk 20 20 20 460gm x 50","K-13","K-09",50,25.3,false
