K-7001,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 50 Kg  x 1,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP),50 Kg,50 Kg  x 1,"displayName,variant_name"
K-6349,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 1 kg x 1,Katyayani ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 1 kg x 1,displayName,,
K-457,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 1 Kg x 100,Katyayani ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 1 Kg x 100,displayName,,
K-5178,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 400 gm X 1,Katyayani ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 400 gm X 1,displayName,,
K-5251,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 250gm x 1,Katyayani ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 250gm x 1,displayName,,
K-450,ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 250gm x 2,Katyayani ELPI (Cymoxanil 8 % + Mancozeb 64 % WP) 250gm x 2,displayName,,
K-6385,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 50 gm x 1,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 50 gm x 1,displayName,,
K-5323,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 100 gm x 1,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 100 gm x 1,displayName,,
K-553,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 500gm x 1,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 500gm x 1,displayName,,
K-554,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 1,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 1,displayName,,
K-555,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 500gm x 3,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 500gm x 3,displayName,,
K-556,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 3,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 3,displayName,,
K-557,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 5,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 5,displayName,,
K-558,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 10,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 10,displayName,,
K-559,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 20,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 20,displayName,,
K-1216,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 50,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg x 50,displayName,,
K-1141,Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg X 2,Katyayani Tebusul (Tebuconazole 10 % + sulphur 65 % wg) 1 Kg X 2,displayName,,
K-5752,kzeb (Mancozeb 75% WP) 250 gm x 1,Katyayani kzeb (Mancozeb 75% WP) 250 gm x 1,displayName,,
K-560,kzeb (Mancozeb 75% WP) 400gm x 1,Katyayani kzeb (Mancozeb 75% WP) 400gm x 1,displayName,,
K-561,kzeb (Mancozeb 75% WP) 800gm x 1,Katyayani kzeb (Mancozeb 75% WP) 800gm x 1,displayName,,
K-562,kzeb (Mancozeb 75% WP) 800gm x 2,Katyayani kzeb (Mancozeb 75% WP) 800gm x 2,displayName,,
K-563,kzeb (Mancozeb 75% WP) 800gm x 5,Katyayani kzeb (Mancozeb 75% WP) 800gm x 5,displayName,,
K-564,kzeb (Mancozeb 75% WP) 800gm x 10,Katyayani kzeb (Mancozeb 75% WP) 800gm x 10,displayName,,
K-565,kzeb (Mancozeb 75% WP) 800gm x 25,Katyayani kzeb (Mancozeb 75% WP) 800gm x 25,displayName,,
K-566,kzeb (Mancozeb 75% WP) 800gm x 50,Katyayani kzeb (Mancozeb 75% WP) 800gm x 50,displayName,,
K-1212,kzeb (Mancozeb 75% WP) 800gm x 50,Katyayani kzeb (Mancozeb 75% WP) 800gm x 50,displayName,,
K-5476,kzeb (Mancozeb 75% WP) 500 gm x 1,Katyayani kzeb (Mancozeb 75% WP) 500 gm x 1,displayName,,
K-5083,kzeb (Mancozeb 75% WP) 400gm x 39,Katyayani kzeb (Mancozeb 75% WP) 400gm x 39,displayName,,
K-6087,kzeb (Mancozeb 75% WP) 1kg x 1,Katyayani kzeb (Mancozeb 75% WP) 1kg x 1,displayName,,
K-6318,kzeb (Mancozeb 75% WP) 25 kg x 1,Katyayani kzeb (Mancozeb 75% WP) 25 kg x 1,displayName,,
K-7005,kzeb (Mancozeb 75% WP) 50 kg x 1,Katyayani kzeb (Mancozeb 75% WP) 50 kg x 1,displayName,,
K-5072,kzeb (Mancozeb 75% WP) 400gm x 25,Katyayani kzeb (Mancozeb 75% WP) 400gm x 25,displayName,,
K-1189,Advance Pesticide Mancozeb 75 1kg x 1,Katyayani Advance Pesticide Mancozeb 75 1kg x 1,displayName,,
K-567,COC (Copper Oxychloride 50% WP) 250gm x 1,Katyayani COC (Copper Oxychloride 50% WP) 250gm x 1,displayName,,
K-568,,,"grossWeight,itemQty,bulk",,
K-5199,COC (Copper Oxychloride 50% WP) 250gm x 8,Katyayani COC (Copper Oxychloride 50% WP) 250gm x 8,displayName,,
K-569,COC (Copper Oxychloride 50% WP) 450gm x 2,Katyayani COC (Copper Oxychloride 50% WP) 450gm x 2,displayName,,
K-570,COC (Copper Oxychloride 50% WP) 450gm x 4,Katyayani COC (Copper Oxychloride 50% WP) 450gm x 4,displayName,,
K-5867,COC (Copper Oxychloride 50% WP) 1KG X 1,Katyayani COC (Copper Oxychloride 50% WP) 1KG X 1,displayName,,
K-5904,COC (Copper Oxychloride 50% WP) 50kg x 1,Katyayani COC (Copper Oxychloride 50% WP) 50kg x 1,displayName,,
K-5045,COC (Copper Oxychloride 50% WP) 20kg x 1,Katyayani COC (Copper Oxychloride 50% WP) 20kg x 1,displayName,,
K-6076,COC (Copper Oxychloride 50% WP) 500gm x 1,Katyayani COC (Copper Oxychloride 50% WP) 500gm x 1,displayName,,
K-6226,COC (Copper Oxychloride 50% WP) 25 KG X 1,Katyayani COC (Copper Oxychloride 50% WP) 25 KG X 1,displayName,,
K-6405,COC (Copper Oxychloride 50% WP) 10 KG X 1,Katyayani COC (Copper Oxychloride 50% WP) 10 KG X 1,displayName,,
K-5802,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 25 Ltr X 1,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 25LTR X 1,displayName,,
K-5690,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 100ml x 1,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 100ml x 1,displayName,,
K-6621,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 100ml x 2,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 100ml x 2,displayName,,
K-6622,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 100ml x 5,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 100ml x 5,displayName,,
K-6623,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 100ml x 10,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 100ml x 10,displayName,,
K-577,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 1,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 1,displayName,,
K-578,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 3,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 3,displayName,,
K-579,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 4,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 4,displayName,,
K-580,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 7,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 7,displayName,,
K-581,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 12,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 12,displayName,,
K-582,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 20,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 250ml x 20,displayName,,
K-6148,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 5 ltr x 1,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 5 ltr x 1,displayName,,
K-5998,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 1ltr x 1,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 1ltr x 1,displayName,,
K-6687,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 1ltr x 2,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 1ltr x 2,displayName,,
K-6688,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 1ltr x 5,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 1ltr x 5,displayName,,
K-5687,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 50ml x 1,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 50ml x 1,displayName,,
K-6619,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 50ml x 2,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 50ml x 2,displayName,,
K-6620,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 50ml x 5,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 50ml x 5,displayName,,
K-6500,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 500 ml x 1,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 500 ml x 1,displayName,,
K-6686,DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 500 ml x 2,Katyayani DrZole (Azoxystrobin 11.00 % Tebuconazole 18.30 % SC) 500 ml x 2,displayName,,
K-1338,Chlorothalonil 75% wp 250gm x 1,Katyayani Chlorothalonil 75% wp 250gm x 1,displayName,,
K-1339,Chlorothalonil 75% wp 250gm x 2,Katyayani Chlorothalonil 75% wp 250gm x 2,displayName,,
K-1340,Chlorothalonil 75% wp 250gm x 4,Katyayani Chlorothalonil 75% wp 250gm x 4,displayName,,
K-1341,Chlorothalonil 75% wp 250gm x 6,Katyayani Chlorothalonil 75% wp 250gm x 6,displayName,,
K-1342,Chlorothalonil 75% wp 250gm x 12,Katyayani Chlorothalonil 75% wp 250gm x 12,displayName,,
K-1343,Chlorothalonil 75% wp 250gm x 20,Katyayani Chlorothalonil 75% wp 250gm x 20,displayName,,
K-1344,Chlorothalonil 75% wp 250gm x 40,Katyayani Chlorothalonil 75% wp 250gm x 40,displayName,,
K-1380,Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 1,Katyayani Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 1,displayName,,
K-1381,Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 3,Katyayani Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 3,displayName,,
K-1382,Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 4,Katyayani Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 4,displayName,,
K-1383,Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 7,Katyayani Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 7,displayName,,
K-1384,Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 12,Katyayani Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 12,displayName,,
K-1385,Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 20,Katyayani Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 20,displayName,,
K-1386,Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 40,Katyayani Namami - Tricyclazole 18.0% + Tebuconazole 14.4% SC 250ml x 40,displayName,,
K-1387,Plantivo - Tebuconazole 50% + Trifloxystrobin 25% WG 100gm x 1,Katyayani Kartavya - Tebuconazole 50% + Trifloxystrobin 25% WG 100gm x 1,displayName,,
K-1388,Plantivo - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 2,Katyayani Kartavya - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 2,displayName,,
K-1389,Plantivo - Tebuconazole 50% + Trifloxystrobin 25% WG 100gm x 4,Katyayani Kartavya - Tebuconazole 50% + Trifloxystrobin 25% WG 100gm x 4,displayName,,
K-1390,Plantivo - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 9,Katyayani Kartavya - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 9,displayName,,
K-1391,Plantivo - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 18,Katyayani Kartavya - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 18,displayName,,
K-1392,Plantivo - Tebuconazole 50% + Trifloxystrobin 25% WG 100gm x 36,Katyayani Kartavya - Tebuconazole 50% + Trifloxystrobin 25% WG 100gm x 36,displayName,,
K-1393,Plantivo - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 50,Katyayani Kartavya - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 50,displayName,,
K-1394,Plantivo - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 100,Katyayani Kartavya - Tebuconazole 50% + Trifloxystrobin 25% WG 100 gm x 100,displayName,,
K-5824,Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 1,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 1,displayName,,
K-7037,Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 3,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 3,displayName,,
K-5634,Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 4,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 4,displayName,,
K-7038,Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 7,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 7,displayName,,
K-5635,Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 12,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 12,displayName,,
K-5636,Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 20,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 20,displayName,,
K-6159,Chatur - Mancozeb 40% + Azoxystrobin 7% 1Ltr x 1,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 1Ltr x 1,displayName,,
K-6160,Chatur - Mancozeb 40% + Azoxystrobin 7% 1Ltr x 3,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 1Ltr x 3,displayName,,
K-6161,Chatur - Mancozeb 40% + Azoxystrobin 7% 1Ltr x 5,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 1Ltr x 5,displayName,,
K-5637,Chatur - Mancozeb 40% + Azoxystrobin 7% 1Ltr x 10,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 1Ltr x 10,displayName,,
K-1280,Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 40,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 250ml x 40,displayName,,
K-6070,Chatur - Mancozeb 40% + Azoxystrobin 7% 100ml x 1,Katyayani Chatur - Mancozeb 40% + Azoxystrobin 7% 100ml x 1,displayName,,
K-5810,Copper Sulphate 470g x 1,Katyayani Copper Sulphate 470g x 1,displayName,,
K-5811,Copper Sulphate 470g x 2,Katyayani Copper Sulphate 470g x 2,displayName,,
K-5812,Copper Sulphate 470g x 4,Katyayani Copper Sulphate 470g x 4,displayName,,
K-5813,Copper Sulphate 470g x 10,Katyayani Copper Sulphate 470g x 10,displayName,,
K-5814,Copper Sulphate 470g x 20,Katyayani Copper Sulphate 470g x 20,displayName,,
K-5200,Copper Sulphate 1kg x 100,Katyayani Copper Sulphate 1kg x 100,displayName,,
K-1272,Copper Sulphate 460 gm x 1,Katyayani Copper Sulphate 460 gm x 1,displayName,,
K-5289,Copper Sulphate 250gm x 1,Katyayani Copper Sulphate 250gm x 1,displayName,,
K-5117,Copper Sulphate 1kg x 1,Katyayani Copper Sulphate 1kg x 1,displayName,,
K-6489,Copper Sulphate 5 kg x 1,Katyayani Copper Sulphate 5 kg x 1,displayName,,
K-6641,Copper Sulphate 10 kg x 1,Katyayani Copper Sulphate 10 kg x 1,displayName,,
K-6077,Copper Sulphate 500gm x 1,Katyayani Copper Sulphate 500gm x 1,displayName,,
K-6098,Copper Sulphate 25kg x 1,Katyayani Copper Sulphate 25kg x 1,displayName,,
K-5254,thifluzamide 24% SC Peter 150ML x 1,Katyayani thifluzamide  Peter 150ML x 1,displayName,,
K-5255,thifluzamide 24% SC Peter 150ML x 2,Katyayani thifluzamide  Peter 150ML x 2,displayName,,
K-5256,thifluzamide 24% SC Peter 150ML x 3,Katyayani thifluzamide  Peter 150ML x 3,displayName,,
K-5257,thifluzamide 24% SC Peter 150ML x 6,Katyayani thifluzamide  Peter 150ML x 6,displayName,,
K-5258,thifluzamide 24% SC Peter 150ML x 10,Katyayani thifluzamide  Peter 150ML x 10,displayName,,
K-5259,thifluzamide 24% SC Peter 150ML x 20,Katyayani thifluzamide  Peter 150ML x 20,displayName,,
K-5260,thifluzamide 24% SC Peter 150ML x 100,Katyayani thifluzamide  Peter 150ML x 100,displayName,,
K-5551,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 1,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 1,displayName,,
K-6401,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6 gm x 5,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6 gm x 5,displayName,,
K-5465,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 10,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 10,displayName,,
K-7195,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 100 gm x 1,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 100 gm  (100 gm x 1),displayName,,
K-5466,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 20,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 20,displayName,,
K-5467,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 40,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 40,displayName,,
K-5468,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 50,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 50,displayName,,
K-5469,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 150,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6gm x 150,displayName,,
K-5755,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6 gm x 2,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 6 gm x 2,displayName,,
K-6756,KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 500 gm x 1,Katyayani KMYCIN (Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) 500 gm x 1,displayName,,
K-6484,METAXEL ( Metalaxyl 35 % ws) 20 gm x 1,Katyayani METAXEL ( Metalaxyl 35 % ws) 20 gm x 1,displayName,,
K-5597,METAXEL ( Metalaxyl 35 % ws) 250gm x 4,Katyayani METAXEL ( Metalaxyl 35 % ws) 250gm x 4,displayName,,
K-5598,METAXEL ( Metalaxyl 35 % ws) 250gm x 12,Katyayani METAXEL ( Metalaxyl 35 % ws) 250gm x 12,displayName,,
K-5599,METAXEL ( Metalaxyl 35 % ws) 250gm x 20,Katyayani METAXEL ( Metalaxyl 35 % ws) 250gm x 20,displayName,,
K-5058,METAXEL ( Metalaxyl 35 % ws) 250 gm x 1,Katyayani METAXEL ( Metalaxyl 35 % ws) 250 gm x 1,displayName,,
K-5059,METAXEL ( Metalaxyl 35 % ws) 250 gm x 40,Katyayani METAXEL ( Metalaxyl 35 % ws) 250 gm x 40,displayName,,
K-1275,METAXEL ( Metalaxyl 35 % ws) 450 gm x 1,Katyayani METAXEL ( Metalaxyl 35 % ws) 450gm x 1,displayName,,
K-6769,METAXEL ( Metalaxyl 35 % ws) 800 gm x 1,Katyayani METAXEL ( Metalaxyl 35 % ws) 800 gm x 1,displayName,,
K-6705,METAXEL ( Metalaxyl 35 % ws) 1 Kg x 1,Katyayani METAXEL ( Metalaxyl 35 % ws) 1 Kg x 1,displayName,,
K-6722,METAXEL ( Metalaxyl 35 % ws) 25 kg x 1,Katyayani METAXEL ( Metalaxyl 35 % ws) 25 kg x 1,displayName,,
K-5075,METAXEL ( Metalaxyl 35 % ws) 25kg x 20,Katyayani METAXEL ( Metalaxyl 35 % ws) 25kg x 20,displayName,,
K-6496,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 100 ml  x 1,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 100 ml  x 1,displayName,,
K-5568,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 1,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 1 ,"displayName,variant_name",,
K-5569,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 3,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 3,displayName,,
K-5570,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 4,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 4,displayName,,
K-5571,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 7,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 7,displayName,,
K-5572,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 12,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 12,displayName,,
K-5573,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 20,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 250ml x 20,displayName,,
K-6434,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 5 ltr x 1,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 5 ltr x 1,displayName,,
K-6343,DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 1 ltr x 1,Katyayani DR BLIGHT (Metalaxyl-M 3.3% + Chlorothalonil 33.1% SC) 1 ltr x 1,displayName,,
K-5689,Neev ( Tebuconazole 2% DS )  40gm x 1,Katyayani Neev ( Tebuconazole 2% DS )  40gm x 1,displayName,,
K-5659,Neev ( Tebuconazole 2% DS )  40gm x 5,Katyayani Neev ( Tebuconazole 2% DS )  40gm x 5,displayName,,
K-5664,Neev ( Tebuconazole 2% DS )  40gm x 10,Katyayani Neev ( Tebuconazole 2% DS )  40gm x 10,displayName,,
K-5665,Neev ( Tebuconazole 2% DS )  40gm x 20,Katyayani Neev ( Tebuconazole 2% DS )  40gm x 20,displayName,,
K-7030,bordeaux mixture  500gm x 1,Katyayani bordeaux mixture 500gm x 1,displayName,,
K-5666,bordeaux mixture  950gm x 1,Katyayani bordeaux mixture  950gm x 1,displayName,,
K-5667,bordeaux mixture  950gm x 5,Katyayani bordeaux mixture  950gm x 5,displayName,,
K-6158,bordeaux mixture  950gm x 2,Katyayani bordeaux mixture  950gm x 2,displayName,,
K-6640,bordeaux mixture  10 kg x 1,Katyayani bordeaux mixture  1 kg x 10,displayName,,
K-6926,bordeaux mixture  50 kg x 1,Katyayani bordeaux mixture 50 kg x 1,displayName,,
K-6011,Tebuconazole 38.9% 100ml X 1,Katyayani Tebuconazole 38.9% 100ml X 1,displayName,,
K-7378,Tebuconazole 38.9% 250ml x 1,Tebuconazole 38.9%,250ml x 1,displayName,
K-6490,Tebuconazole 38.9% 5 ltr x 1,Katyayani Neev Plus Tebuconazole 38.9% 5 ltr x 1,displayName,,
K-6017,Mandipropamid 23.4% SC 1 ltr x 1,Katyayani Mandipropamid 23.4% SC 1 ltr x 1,displayName,,
K-6576,Mandipropamid 23.4% SC 25 ltr x 1,Katyayani Mandipropamid 23.4% SC 25 ltr x 1,displayName,,
K-7411,META - SULVET (Sulphur 55.16% SC) 250ml x 1,META - SULVET (Sulphur 55.16% SC),250ml x 1,displayName,
K-6351,META - SULVET (Sulphur 55.16% SC) 1 ltr x 1,Katyayani META - SULVET (Sulphur 55.16% SC) 1 ltr x 1,displayName,,
K-6352,META - SULVET (Sulphur 55.16% SC) 1 ltr x 3,Katyayani META - SULVET (Sulphur 55.16% SC) 1 ltr x 3,displayName,,
K-6353,META - SULVET (Sulphur 55.16% SC) 1 ltr x 5,Katyayani META - SULVET (Sulphur 55.16% SC) 1 ltr x 5,displayName,,
K-6354,META - SULVET (Sulphur 55.16% SC) 1 ltr x 10,Katyayani META - SULVET (Sulphur 55.16% SC) 1 ltr x 10,displayName,,
K-6355,META - SULVET (Sulphur 55.16% SC) 1 ltr x 20,Katyayani META - SULVET (Sulphur 55.16% SC) 1 ltr x 20,displayName,,
K-6939,META - SULVET (Sulphur 55.16% SC) 5 ltr x 1,Katyayani META - SULVET (Sulphur 55.16% SC) 5 ltr x 1,displayName,,
K-7040,META - SULVET (Sulphur 55.16% SC) 25 ltr x 1,Katyayani META - SULVET (Sulphur 55.16% SC) 25 ltr x 1,displayName,,
K-6359,Benomyl 50% WP 200 gm x 1,Katyayani Benomyl 50% WP 200 gm x 1,displayName,,
K-6437,Fluxapyroxad 167 g/L + Pyraclostrobin 333 g/L SC 250 ml x 1,Katyayani Fluxapyroxad 167 g/L + Pyraclostrobin 333 g/L SC 250 ml x 1,displayName,,
K-6441,Thifluzamide 26% + Kasugamycin 6% SC 5 ltr x 1,Katyayani Thifluzamide 26% + Kasugamycin 6% SC 5 ltr x 1,displayName,,
